progress,finished,attention_1,attention_2,attention_3,attention_1_fail,attention_2_fail,attention_3_fail,q1_g20,q2_g20,q3_g20,q4_g20,q5_g20,q6_g20,q7_g20,q8_g20,q9_g20,q10_g20,q11_g20,q12_g20,q13_g20,q14_g20,q15_g20,q16_g20,q17_g20,q18_g20,q19_g20,q20_g20,q16_g5,q17_g5,q18_g5,q19_g5,q20_g5,method_description,time_q1,time_q2,time_q3,time_q4,time_q5,time_q6,time_q7,time_q8,time_q9,time_q10,time_q11,time_q12,time_q13,time_q14,time_q15,time_q16,time_q17,time_q18,time_q19,time_q20,history_q1,history_q2,history_q3,history_q4,history_q5,history_q6,history_q7,history_q8,history_q9,history_q10,history_q11,history_q12,history_q13,history_q14,history_q15,history_q16,history_q17,history_q18,history_q19,history_q20,button_2_to_1,button_3_to_2,button_4_to_3,button_5_to_4,history_a1,history_a2,history_a3,history_a1_fail,history_a2_fail,history_a3_fail,time_button_2_to_1,time_button_3_to_2,time_button_4_to_3,time_button_5_to_4,button_1_to_2,button_2_to_3,button_3_to_4,button_4_to_5,time_button_1_to_2,time_button_2_to_3,time_button_3_to_4,time_button_4_to_5,setting
100,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,5,5,5,4,4,,,,,,,,,,,,,,,,,"1661450330425","1661450332967","1661450336524","1661450338610","1661450341132",,,,,,,,,,,,,,,,"5","5","5","4","4",,,,,"2","1","2",,,,,,,,,,,1,,,,"1661450342959",93
100,1,2,1,2,,,,4,4,3,4,3,5,4,3,3,3,5,5,5,3,3,5,5,4,5,5,,,,,,Estimated by dividing the number by 300,"1661450740710","1661450748667","1661450750857","1661450755930","1661450762868","1661450770589","1661450772556, 1661450774022","1661450775346","1661450777238","1661450779621","1661450784637","1661450787545","1661450790108","1661450791828","1661450793104","1661450798045","1661450800833","1661450802898","1661450811564","1661450815292","4","4","3","4","3","5","3, 4","3","3","3","5","5","5","3","3","5","5","4","5","5",,,,,"2","1","2",,,,,,,,1,1,1,1,"1661450765684","1661450780918","1661450794305","1661450817233",50
100,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,5,4,5,5,5,"divided the 300 points in 100% and categorized the scores depending on that, which is 10% for every 30 points",,,,,,,,,,,,,,,,"1661450807756","1661450810474","1661450818075","1661450822738","1661450824086",,,,,,,,,,,,,,,,"5","4","5","5","5",,,,,"2","1","2",,,,,,,,,,,1,,,,"1661450829677",26
100,1,2,1,2,,,,1,4,3,2,5,4,5,2,5,4,2,3,2,5,1,1,1,3,4,3,,,,,,"At first, I tried following instructions and basing it off of all the accumulated scores knowledge. Then, I realized I could go back and edit my answers, so I made a ranking list of all scores and then divided that list into 5 groups, giving each score it's rank as per my created groups.","1661450464817, 1661450493836, 1661450602151","1661450477918, 1661450492366","1661450473399, 1661450490909","1661450471559, 1661450488794, 1661450839769","1661450450788, 1661450453637, 1661450844627","1661450513496","1661450509429","1661450515747, 1661450856925","1661450520886","1661450523437","1661450544998","1661450546971","1661450547855","1661450551522, 1661450878439","1661450538263","1661450560419, 1661450581826, 1661450622843","1661450561407","1661450562872, 1661450892307","1661450566277, 1661450568745, 1661450574681","1661450570944","1, 2, 1","3, 4","2, 3","2, 3, 2","5, 4, 5","4","5","3, 2","5","4","2","3","2","4, 5","1","1, 2, 1","1","2, 3","4, 3, 4","3",3,4,3,3,"2","1","2",,,,"1661450600198, 1661450645355, 1661450822703","1661450597163, 1661450642552, 1661450734463, 1661450821363","1661450595046, 1661450632916, 1661450819771","1661450592289, 1661450631032, 1661450786613",4,5,4,4,"1661450498322, 1661450611087, 1661450664753, 1661450847580","1661450531009, 1661450616073, 1661450728463, 1661450737759, 1661450865911","1661450558348, 1661450620976, 1661450762473, 1661450883124","1661450590534, 1661450628914, 1661450784459, 1661450904960",8
100,1,2,1,2,,,,5,5,4,4,5,3,4,5,4,3,4,3,3,5,4,3,4,3,5,5,,,,,,I would assume random levels given how far apart the values are and base my answers on that,"1661451081264","1661451077165","1661451084959","1661451087308","1661451091100","1661451099825","1661451102296","1661451097565","1661451105271","1661451106835","1661451120790","1661451121682","1661451123018, 1661451124124","1661451112685","1661451114346","1661451139420","1661451135937, 1661451137437","1661451144501","1661451131693","1661451132963","5","5","4","4","5","3","4","5","4","3","4","3","4, 3","5","4","3","3, 4","3","5","5",,,,,"2","1","2",,,,,,,,1,1,1,1,"1661451092647","1661451108231","1661451126521","1661451146276",62
100,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,3,4,4,3,5,I guessed and assigned percentages accordingly ,,,,,,,,,,,,,,,,"1661451444723, 1661451445838, 1661451457992","1661451449166, 1661451453863, 1661451472170","1661451452397, 1661451468144","1661451461169","1661451464356",,,,,,,,,,,,,,,,"3, 4, 3","4, 3, 4","3, 4","3","5",,,,,"2","1","2",,,,,,,,,,,1,,,,"1661451477385",66
100,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,4,3,4,5,5,The scores presented were all relatively close to the maximum value (300) so I assumed the test was easy. So I put the scores from 251 as 80-100% and so on.,,,,,,,,,,,,,,,,"1661451349932, 1661451384449","1661451358213, 1661451359111, 1661451383480","1661451360885, 1661451414669","1661451364269","1661451365598",,,,,,,,,,,,,,,,"5, 4","3, 4, 3","5, 4","5","5",,,,1,"2","1","2",,,,,,,"1661451376273",,,,2,,,,"1661451367771, 1661451427750",64
100,1,2,1,2,,,,5,3,5,5,3,4,4,4,3,5,4,5,4,3,5,4,5,4,5,4,,,,,,"at first i scored most of them in the highest percentile given experience from the first example, but then when i saw all were relatively high and/or the difference in range was small, i recalibrated in a few places. ","1661451471348","1661451475105, 1661451480485, 1661451568666","1661451479416","1661451488751","1661451491634, 1661451570877","1661451547718","1661451548624","1661451551155","1661451554169, 1661451563420","1661451555811","1661451581059","1661451582686","1661451586168","1661451587471","1661451589162","1661451593183","1661451594224","1661451595883","1661451597036","1661451600693","5","5, 4, 3","5","5","4, 3","4","4","4","4, 3","5","4","5","4","3","5","4","5","4","5","4",1,,,,"2","1","2",,,,"1661451564770",,,,2,1,1,1,"1661451513743, 1661451572547","1661451576100","1661451590057","1661451602156",1
100,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,4,4,3,5,4,I set 200 points as 50% mark and tried to evaluate using this as my scale,,,,,,,,,,,,,,,,"1661451854768","1661451856697","1661451860414","1661451862311","1661451868274",,,,,,,,,,,,,,,,"4","4","3","5","4",,,,,"2","1","2",,,,,,,,,,,1,,,,"1661451872342",36
100,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,5,4,3,2,2,,,,,,,,,,,,,,,,,"1661451984122","1661452003754","1661452011089","1661452006826, 1661452013906","1661452007930, 1661452014636",,,,,,,,,,,,,,,,"5","4","3","3, 2","3, 2",,,,,"2","1","2",,,,,,,,,,,1,,,,"1661452016144",69
100,1,2,1,2,,,,2,3,2,3,4,2,3,3,1,2,5,5,2,4,2,3,2,5,4,2,,,,,,"I used a relative scoring system, basing my estimates on the distribution of the scores presented.","1661451960662, 1661451994960","1661451970165, 1661452006822, 1661452012348","1661452014785","1661452018908","1661452022136","1661452051719, 1661452054029","1661452055950","1661452058030","1661452062694","1661452064872","1661452076596","1661452080192","1661452084869","1661452088377","1661452090925","1661452095901","1661452098109","1661452100863","1661452103620","1661452106581","3, 2","4, 2, 3","2","3","4","3, 2","3","3","1","2","5","5","2","4","2","3","2","5","4","2",,,,,"2","1","2",,,,,,,,1,1,1,1,"1661452046128","1661452067940","1661452092910","1661452108750",45
