progress,finished,attention_1,attention_2,attention_3,attention_1_fail,attention_2_fail,attention_3_fail,q1_g20,q2_g20,q3_g20,q4_g20,q5_g20,q6_g20,q7_g20,q8_g20,q9_g20,q10_g20,q11_g20,q12_g20,q13_g20,q14_g20,q15_g20,q16_g20,q17_g20,q18_g20,q19_g20,q20_g20,q16_g5,q17_g5,q18_g5,q19_g5,q20_g5,method_description,time_q1,time_q2,time_q3,time_q4,time_q5,time_q6,time_q7,time_q8,time_q9,time_q10,time_q11,time_q12,time_q13,time_q14,time_q15,time_q16,time_q17,time_q18,time_q19,time_q20,history_q1,history_q2,history_q3,history_q4,history_q5,history_q6,history_q7,history_q8,history_q9,history_q10,history_q11,history_q12,history_q13,history_q14,history_q15,history_q16,history_q17,history_q18,history_q19,history_q20,button_2_to_1,button_3_to_2,button_4_to_3,history_a1,history_a2,history_a3,history_a1_fail,history_a2_fail,history_a3_fail,setting
100,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,4,5,4,5,5,I considered that the scores were all above the 60% mark assuming that it is possible for the applicants to score the highest possible points (300) ,,,,,,,,,,,,,,,,"1656646145575, 1656646157590","1656646149068","1656646150372","1656646151686","1656646152924",,,,,,,,,,,,,,,,"5, 4","5","4","5","5",,,,"2","1","2",,,,11
100,1,2,1,2,,,,5,1,4,3,1,1,1,4,3,2,3,4,1,3,3,3,3,2,5,1,,,,,,"The first set was a complete guess as I didn't have much to go on. As more numbers were shown, I tried to see how highly/lowly they ranked compared to the score that had been previously shown.","1656646301901","1656646322745, 1656646361984","1656646305314, 1656646322170","1656646306544, 1656646363823","1656646315073, 1656646317697","1656646370409","1656646386617","1656646406415","1656646409449","1656646389248","1656646469250","1656646446999","1656646431592","1656646467935","1656646471839","1656646507719","1656646507151","1656646504736","1656646503144","1656646498087","5","2, 1","5, 4","4, 3","2, 1","1","1","4","3","2","3","4","1","3","3","3","3","2","5","1",,,,"2","1","2",,,,32
100,1,2,2,2,2,1,2,,,,,,,,,,,,,,,,,,,,,4,4,2,4,5,I compared the numbers and tried to plot them over a range of possibilities.  ,,,,,,,,,,,,,,,,"1656646539944","1656646548357","1656646551213, 1656646570344, 1656646572034","1656646552061","1656646555289, 1656646564198",,,,,,,,,,,,,,,,"4","4","4, 3, 2","4","4, 5",,,,"2","2","2","2","2, 1","2",37
100,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,3,1,5,1,2,"The numbers all seemed to be ranged from 200-241, so I guessed that 200 was the lowest applicants scored. Likewise, I guessed that 241 was the highest, as it was the highest number given.",,,,,,,,,,,,,,,,"1656646496130, 1656646550688","1656646499318, 1656646517879","1656646498414","1656646502363, 1656646520378","1656646503995, 1656646526661",,,,,,,,,,,,,,,,"4, 3","4, 1","5","4, 1","4, 2",,,,"2","1","2",,,,44
100,1,2,2,1,2,1,2,,,,,,,,,,,,,,,,,,,,,3,4,5,3,2,"I looked at all of the scores, and guessed based off the range of scores, estimated the percentage.",,,,,,,,,,,,,,,,"1656646846595, 1656646878438","1656646852215","1656646856438","1656646860421, 1656646884526","1656646868043, 1656646870376, 1656646886010",,,,,,,,,,,,,,,,"4, 3","4","5","4, 3","4, 3, 2",,,,"2","2","1","2","1","2",19
100,1,2,1,2,,,,4,5,4,4,5,3,4,4,5,4,3,5,4,3,3,4,3,4,4,4,,,,,,Trying to calculate percentages in terms of 300,"1656647018145, 1656647020061","1656647021488","1656647027318","1656647032037","1656647035319","1656647041571, 1656647047848","1656647046674","1656647059446","1656647063201, 1656647067061","1656647068868","1656647077160","1656647078741, 1656647081287","1656647082279","1656647085192","1656647088850","1656647093175, 1656647095765","1656647094716","1656647100488","1656647103580","1656647106100","5, 4","5","4","4","5","4, 3","4","4","4, 5","4","3","4, 5","4","3","3","3, 4","3","4","4","4",,,,"2","1","2",,,,48
100,1,2,1,2,,,,4,4,4,4,3,4,5,4,5,4,4,4,4,3,5,3,4,4,4,3,,,,,,"I'm assuming at least some people not shown scored less than 200, so it wouldn't be accurate to place any of the numbers I saw in the 0-20% category. Anything 260+ is pretty close to 300, so I scored them the highest. Everyone else was average but not terrible.","1656646859915","1656646861879","1656646865718","1656646883281","1656646885603","1656646894077","1656646896003","1656646907808","1656646904971","1656646910680","1656646915804","1656646917027","1656646918598","1656646920982","1656646924618","1656646937449","1656646938853","1656646941281","1656646942727","1656646944077","4","4","4","4","3","4","5","4","5","4","4","4","4","3","5","3","4","4","4","3",,,,"2","1","2",,,,23
100,1,2,2,2,2,1,2,4,4,5,5,3,3,3,3,2,5,2,3,3,2,3,3,4,3,4,3,,,,,,Compared the number of high-ranking numbers with an imaginary grid of percentiles,"1656646856696, 1656646894364","1656646869802","1656646876439","1656646884121","1656646904726","1656646927110, 1656646936711","1656646947628","1656646959937","1656646965250, 1656646965567","1656646970391","1656646980083","1656646988793","1656646994306","1656647000708","1656647005240","1656647015784","1656647027106","1656647032003","1656647042703","1656647051202","5, 4","4","5","5","3","2, 3","3","3","2, 2","5","2","3","3","2","3","3","4","3","4","3",,,,"2","2","2","2","1","2",1
100,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,4,3,1,4,5,"Out of the sample of numbers provided, they were all fairly high scores considering the high was 300. Therefore, scores like 201 were probably near the bottom of the scale, but scores like the 286 are probably close to the top. I effectively considered it a spread of 100 since all the scores were between 200 and 300, and so I divided up the percentage spread based on that smaller range.",,,,,,,,,,,,,,,,"1656647015113","1656647016479","1656647021233","1656647013234","1656646996757",,,,,,,,,,,,,,,,"4","3","1","4","5",,,,"2","1","2",,,,18
100,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,2,3,5,3,2,"I looked at the range of numbers given. Then, I identified the highest and lowest numbers. Then, I looked at the numbers that fall in between and how close those numbers were to each other. I identified the average to be around 230 and answered the questions accordingly. ",,,,,,,,,,,,,,,,"1656647513010","1656647537144","1656647524701","1656647544657","1656647516804",,,,,,,,,,,,,,,,"2","3","5","3","2",,,,"2","1","2",,,,34
100,1,2,2,2,2,1,2,,,,,,,,,,,,,,,,,,,,,5,2,3,1,4,This was a simple sorting of the 5 numbers to the 5 spaces.,,,,,,,,,,,,,,,,"1656647636421","1656647630324","1656647642792","1656647624912","1656647646813",,,,,,,,,,,,,,,,"5","2","3","1","4",,,,"2","2","2","2","1","2",47
100,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,4,3,4,5,5,Complete and total guesswork as there is no information as to actual data.,,,,,,,,,,,,,,,,"1656647728653","1656647729981","1656647733882","1656647735537","1656647737784",,,,,,,,,,,,,,,,"4","3","4","5","5",,,,"2","1","2",,,,46
100,1,2,2,2,2,1,2,4,4,2,2,3,3,3,1,3,4,4,3,2,4,3,1,1,5,1,3,,,,,,"I considered the range of scores I saw on each page and adjusted my answers so that the lowest scores were in the lowest percentiles and the highest scores fell in the higher percentiles. This involved going through all of the numbers once, and then a second time to readjust.","1656647595014, 1656647598555, 1656647602203, 1656647662645, 1656647663947","1656647599229, 1656647665016","1656647603525, 1656647666256, 1656647667645","1656647604491, 1656647668397","1656647605984, 1656647669438","1656647615625, 1656647618835","1656647617350, 1656647676474","1656647620760, 1656647678815","1656647622137","1656647624686","1656647629990, 1656647631254, 1656647684746","1656647632796, 1656647687597","1656647634072, 1656647688879","1656647636389","1656647637590","1656647641914, 1656647694815","1656647644258","1656647645515","1656647646841","1656647648041","5, 4, 5, 3, 4","5, 4","4, 3, 2","4, 2","5, 3","4, 3","4, 3","2, 1","3","4","4, 5, 4","4, 3","3, 2","4","3","2, 1","1","5","1","3",1,1,1,"2","2","2","2","1","2",49
100,1,2,1,2,,,,3,2,3,4,2,5,3,1,2,5,3,2,2,3,1,3,3,2,3,4,,,,,,I just took what i felt was the average of given scores and then ranked them higher or lower.,"1656647769970, 1656647785609","1656647775041, 1656647788649","1656647781054, 1656647792184","1656647793540","1656647795257","1656647801583","1656647803737","1656647805547, 1656647807241","1656647808907","1656647810113","1656647814080, 1656647814976, 1656647815835","1656647817426","1656647818567","1656647819942","1656647821385","1656647827244, 1656647831128","1656647829497","1656647832362","1656647833915","1656647835788","4, 3","4, 2","4, 3","4","2","5","3","2, 1","2","5","3, 4, 3","2","2","3","1","2, 3","3","2","3","4",,,,"2","1","2",,,,10
100,1,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2","2","2","2","2","2",
100,1,2,1,2,,,,3,2,1,1,2,1,3,1,1,5,2,4,5,4,2,2,4,4,3,5,,,,,,The method I used was compiling all the numbers together in a mental list and grouping similar numbers in what I thought was the correct category.,"1656647685758, 1656647714811, 1656647819429, 1656647875386","1656647687750, 1656647821320, 1656647877051","1656647721071, 1656647765528, 1656647781556, 1656647878063, 1656647879321","1656647722769, 1656647774699, 1656647824289","1656647736028, 1656647757846, 1656647881074","1656647798805, 1656647837724","1656647800896, 1656647892814","1656647802955","1656647804688","1656647805981","1656647858506","1656647851325","1656647861474","1656647863273","1656647866924","1656647908875","1656647919948","1656647918556","1656647916479","1656647914254","4, 5, 4, 3","4, 3, 2","3, 2, 1, 2, 1","3, 2, 1","4, 3, 2","2, 1","4, 3","1","1","5","2","4","5","4","2","2","4","4","3","5",2,1,,"2","2, 1","2",,,,7
